Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,376.850006,377.500000,370.100006,373.149994,349.756317,1435221
2018-05-22,373.500000,375.250000,366.000000,374.700012,351.209167,1474387
2018-05-23,374.000000,377.649994,366.600006,368.200012,345.116730,1568630
2018-05-24,370.500000,373.850006,366.799988,369.500000,346.335205,1137318
2018-05-25,371.000000,379.750000,370.500000,378.299988,354.583435,1559715
2018-05-28,380.000000,382.000000,375.600006,377.799988,354.114807,1349683
2018-05-29,378.799988,387.000000,375.250000,385.549988,361.378937,1483955
2018-05-30,386.600006,389.250000,380.100006,381.899994,357.957733,2348568
2018-05-31,383.049988,387.000000,380.750000,383.299988,359.269989,3223114
2018-06-01,385.000000,392.299988,382.950012,386.750000,362.503754,1733390
2018-06-04,388.000000,389.299988,384.149994,384.950012,360.816620,926051
2018-06-05,386.700012,386.950012,380.000000,380.899994,357.020477,790381
2018-06-06,382.000000,385.799988,375.299988,378.600006,354.864716,1852078
2018-06-07,379.950012,385.000000,378.500000,383.950012,359.879242,2017889
2018-06-08,384.000000,384.500000,380.500000,382.350006,358.379578,1416758
2018-06-11,383.399994,389.000000,383.350006,386.200012,361.988190,2111468
2018-06-12,387.700012,389.149994,385.299988,387.000000,362.738007,890594
2018-06-13,387.000000,390.049988,385.450012,388.149994,363.815918,1387211
2018-06-14,388.899994,388.899994,382.000000,386.899994,362.644348,655966
2018-06-15,387.850006,387.850006,381.000000,383.850006,359.785553,1370715
2018-06-18,383.649994,389.799988,382.399994,386.399994,362.175690,1639574
2018-06-19,388.000000,388.000000,377.299988,379.850006,356.036377,1043988
2018-06-20,378.149994,384.500000,378.149994,379.799988,355.989410,1215628
2018-06-21,381.200012,386.100006,379.799988,385.600006,361.425842,1033023
2018-06-22,385.600006,386.700012,381.100006,385.149994,361.004028,569600
2018-06-25,385.000000,387.500000,382.399994,384.450012,360.347961,645746
2018-06-26,386.299988,388.000000,383.600006,386.500000,362.269409,804351
2018-06-27,387.750000,396.399994,385.350006,393.500000,368.830566,2173065
2018-06-28,395.000000,395.500000,385.299988,387.450012,363.159821,2014384
2018-06-29,389.350006,392.899994,386.500000,391.450012,366.909119,1551244
2018-07-02,391.450012,391.450012,382.299988,383.700012,359.644928,2244408
2018-07-03,384.500000,387.500000,381.350006,384.750000,360.629120,1893774
2018-07-04,382.000000,383.950012,377.700012,379.750000,360.629150,2452019
2018-07-05,380.899994,381.700012,375.950012,376.799988,362.601868,2379568
2018-07-06,376.750000,380.049988,369.399994,370.000000,356.058075,2777742
2018-07-09,371.200012,379.350006,371.200012,375.149994,361.014038,1796707
2018-07-10,377.149994,380.500000,375.000000,376.250000,362.072632,2008710
2018-07-11,376.750000,382.450012,376.250000,378.700012,364.430267,4187393
2018-07-12,380.700012,382.750000,375.950012,378.100006,363.852905,2464624
2018-07-13,379.700012,380.750000,375.049988,376.100006,361.928253,1577536
2018-07-16,375.000000,376.899994,365.549988,367.299988,353.459808,906673
2018-07-17,369.299988,379.399994,368.100006,377.850006,363.612274,3469146
2018-07-18,378.950012,381.899994,372.049988,374.250000,360.147919,3554218
2018-07-19,374.250000,379.500000,372.500000,375.299988,361.158386,2130414
2018-07-20,373.600006,377.250000,370.299988,373.000000,358.945099,1534917
2018-07-23,375.299988,377.000000,371.850006,373.899994,359.811188,1648451
2018-07-24,374.649994,375.450012,372.100006,373.700012,359.618652,1142955
2018-07-25,373.649994,377.149994,370.149994,371.600006,357.597809,2028167
2018-07-26,370.500000,375.399994,370.500000,373.299988,359.233704,2236860
2018-07-27,374.399994,387.799988,374.399994,386.000000,371.455200,2835864
2018-07-30,391.000000,395.899994,384.200012,393.450012,378.624481,2998129
2018-07-31,396.000000,428.450012,384.649994,421.549988,405.665680,18573319
2018-08-01,423.799988,439.049988,423.700012,432.250000,415.962433,9757456
2018-08-02,431.000000,436.500000,426.049988,428.899994,412.738678,3356054
2018-08-03,422.000000,441.350006,422.000000,436.899994,420.437286,5007266
2018-08-06,437.100006,442.850006,434.100006,436.000000,419.571136,2403824
2018-08-07,436.450012,444.850006,436.450012,443.200012,426.499878,3264114
2018-08-08,445.149994,446.750000,441.549988,445.149994,428.376404,2903147
2018-08-09,443.250000,446.750000,441.100006,445.899994,429.098114,3303838
2018-08-10,443.850006,444.600006,440.000000,442.600006,425.922516,1682527
2018-08-13,439.950012,444.450012,438.399994,441.200012,424.575226,1636383
2018-08-14,440.500000,454.000000,440.500000,453.000000,435.930603,2732923
2018-08-16,451.350006,455.850006,443.700012,444.899994,428.135742,2271009
2018-08-17,447.000000,459.000000,444.000000,456.200012,439.010040,3213894
2018-08-20,456.899994,457.799988,448.299988,453.299988,436.219269,3313045
2018-08-21,454.250000,461.700012,451.799988,458.799988,441.512085,3651453
2018-08-23,465.000000,489.350006,462.100006,483.950012,465.714325,11287480
2018-08-24,483.000000,483.850006,473.649994,475.100006,457.197876,2451638
2018-08-27,475.200012,490.649994,475.200012,481.950012,463.789703,4340143
2018-08-28,483.000000,488.950012,483.000000,485.750000,467.446564,2612757
2018-08-29,486.600006,488.200012,476.649994,477.799988,459.796143,2647406
2018-08-30,477.799988,484.350006,475.399994,479.899994,461.816986,3133686
2018-08-31,482.649994,482.649994,475.049988,478.750000,460.710327,2509851
2018-09-03,481.049988,481.049988,465.000000,466.350006,448.777527,2667557
2018-09-04,465.000000,467.750000,443.700012,448.600006,431.696411,6220706
2018-09-05,445.799988,460.899994,445.799988,456.899994,439.683624,3769921
2018-09-06,457.200012,465.450012,448.500000,454.100006,436.989136,2407025
2018-09-07,456.649994,469.450012,451.000000,468.299988,450.654053,2225030
2018-09-10,468.200012,468.200012,448.049988,449.899994,432.947388,1861480
2018-09-11,449.899994,454.350006,441.700012,443.750000,427.029175,3437600
2018-09-12,445.950012,461.000000,439.399994,454.200012,437.085419,5951399
2018-09-14,458.000000,469.899994,456.649994,468.250000,450.605957,4145878
2018-09-17,468.000000,468.000000,454.049988,461.850006,444.447144,2108447
2018-09-18,462.850006,475.149994,461.850006,470.399994,452.674957,2843314
2018-09-19,470.700012,474.000000,462.500000,466.850006,449.258728,4251592
2018-09-21,465.000000,466.700012,430.149994,455.700012,438.528900,3634800
2018-09-24,452.899994,457.500000,429.000000,432.399994,416.106781,2851579
2018-09-25,430.149994,441.450012,422.000000,437.500000,421.014648,3324143
2018-09-26,440.950012,442.350006,432.049988,436.450012,420.004211,2052494
2018-09-27,438.000000,440.000000,426.399994,437.299988,420.822205,2875616
2018-09-28,441.000000,441.500000,416.549988,426.899994,410.814087,3675960
2018-10-01,425.000000,441.000000,423.049988,439.250000,422.698730,1829837
2018-10-03,440.000000,442.500000,421.600006,425.299988,409.274353,2273144
2018-10-04,419.049988,425.000000,410.100006,415.450012,399.795593,2016129
2018-10-05,412.549988,425.000000,403.950012,420.049988,404.222137,3797505
2018-10-08,421.000000,423.299988,404.850006,409.700012,394.262207,2069981
2018-10-09,409.000000,410.700012,383.799988,392.399994,377.614014,5737986
2018-10-10,394.649994,411.600006,391.549988,405.250000,389.979858,3567594
2018-10-11,391.500000,396.649994,385.000000,393.350006,378.528259,4493264
2018-10-12,397.299988,411.399994,397.299988,407.850006,392.481903,3680197
2018-10-15,411.000000,411.000000,393.049988,396.350006,381.415192,2730907
2018-10-16,398.799988,408.299988,397.950012,406.649994,391.327118,1943053
2018-10-17,409.000000,423.000000,400.750000,403.049988,387.862762,3809686
2018-10-19,404.350006,414.000000,398.000000,404.450012,389.210022,2437432
2018-10-22,408.000000,414.000000,402.799988,404.700012,389.450653,2276552
2018-10-23,399.500000,409.649994,397.000000,400.600006,385.505035,2552727
2018-10-24,404.000000,408.600006,400.600006,405.149994,389.883575,1262996
2018-10-25,403.950012,405.600006,396.000000,398.549988,383.532318,3241540
2018-10-26,395.049988,405.000000,394.000000,398.250000,383.243622,1294180
2018-10-29,400.700012,416.700012,400.000000,409.399994,393.973419,5964529
2018-10-30,405.250000,407.450012,388.200012,396.350006,381.415192,4806534
2018-10-31,398.000000,401.750000,379.500000,384.750000,370.252319,7847341
2018-11-01,384.750000,387.149994,369.399994,370.649994,356.683594,6914459
2018-11-02,373.700012,374.899994,365.450012,369.450012,355.528839,6169192
2018-11-05,369.000000,373.250000,362.600006,366.850006,353.026764,4362441
2018-11-06,368.000000,368.549988,364.000000,365.950012,352.160767,3681999
2018-11-07,368.500000,370.299988,367.200012,369.299988,355.384521,361716
2018-11-09,372.000000,379.899994,367.000000,377.200012,364.219543,3518530
2018-11-12,378.000000,383.450012,374.500000,376.299988,363.350555,3151205
2018-11-13,375.000000,375.000000,366.200012,369.549988,356.832825,3678684
2018-11-14,372.000000,381.100006,369.000000,378.850006,365.812805,3170677
2018-11-15,382.500000,389.850006,375.299988,388.850006,375.468658,3649804
2018-11-16,392.850006,397.000000,388.299988,395.649994,382.034698,3658867
2018-11-19,396.100006,409.899994,393.250000,408.500000,394.442474,3624536
2018-11-20,406.000000,406.450012,393.100006,394.100006,380.538055,1734543
2018-11-21,394.149994,403.450012,394.149994,400.500000,386.717773,1189054
2018-11-22,395.200012,406.250000,395.200012,400.799988,387.007477,3013407
2018-11-26,401.500000,420.049988,399.250000,419.049988,404.629425,5599857
2018-11-27,420.000000,422.250000,413.350006,420.850006,406.367462,3658792
2018-11-28,421.000000,426.549988,413.250000,414.799988,400.525696,2591499
2018-11-29,416.750000,421.049988,411.399994,414.950012,400.670502,2462246
